[INFO] this weight = -0.0646903335492, eventWeight = -2.14615941048, pileupWeight = 2.14615941048, genWeight = -1.0, nInt = 10, Run = 1, Event = 22679821

[INFO] this weight = 0.080800284781, eventWeight = 2.68062138557, pileupWeight = 2.68062138557, genWeight = 1.0, nInt = 9, Run = 1, Event = 37020572

[INFO] this weight = 0.0646903335492, eventWeight = 2.14615941048, pileupWeight = 2.14615941048, genWeight = 1.0, nInt = 10, Run = 1, Event = 23837151

[INFO] this weight = -0.0646903335492, eventWeight = -2.14615941048, pileupWeight = 2.14615941048, genWeight = -1.0, nInt = 10, Run = 1, Event = 111593

[INFO] this weight = 0.0646903335492, eventWeight = 2.14615941048, pileupWeight = 2.14615941048, genWeight = 1.0, nInt = 10, Run = 1, Event = 115816

[INFO] this weight = 0.106606723511, eventWeight = 3.53677296638, pileupWeight = 3.53677296638, genWeight = 1.0, nInt = 8, Run = 1, Event = 116542

[INFO] this weight = 0.080800284781, eventWeight = 2.68062138557, pileupWeight = 2.68062138557, genWeight = 1.0, nInt = 9, Run = 1, Event = 2684095

[INFO] this weight = 0.106606723511, eventWeight = 3.53677296638, pileupWeight = 3.53677296638, genWeight = 1.0, nInt = 8, Run = 1, Event = 3489028

[INFO] this weight = 0.143383205568, eventWeight = 4.7568655014, pileupWeight = 4.7568655014, genWeight = 1.0, nInt = 7, Run = 1, Event = 5182415

[INFO] this weight = 0.080800284781, eventWeight = 2.68062138557, pileupWeight = 2.68062138557, genWeight = 1.0, nInt = 9, Run = 1, Event = 6776266

[INFO] this weight = 0.0646903335492, eventWeight = 2.14615941048, pileupWeight = 2.14615941048, genWeight = 1.0, nInt = 10, Run = 1, Event = 7566085

[INFO] this weight = -0.0646903335492, eventWeight = -2.14615941048, pileupWeight = 2.14615941048, genWeight = -1.0, nInt = 10, Run = 1, Event = 7567405

[INFO] this weight = -0.0646903335492, eventWeight = -2.14615941048, pileupWeight = 2.14615941048, genWeight = -1.0, nInt = 10, Run = 1, Event = 22026946

[INFO] this weight = 0.080800284781, eventWeight = 2.68062138557, pileupWeight = 2.68062138557, genWeight = 1.0, nInt = 9, Run = 1, Event = 25945993

[INFO] this weight = -0.0646903335492, eventWeight = -2.14615941048, pileupWeight = 2.14615941048, genWeight = -1.0, nInt = 10, Run = 1, Event = 25972559

